source,target,weight,shared_events
1622,2374,0.0637,2
1787,2374,0.0637,2
2,2374,0.0637,2
7069,5111,0.0625,1
7069,3545,0.0625,1
17027,5111,0.0625,1
134,789,0.0625,1
134,3545,0.0625,1
134,5111,0.0625,1
134,7069,0.0625,1
652,1451,0.0625,1
789,1427,0.0625,1
789,3545,0.0625,1
789,5111,0.0625,1
789,7069,0.0625,1
2871,403,0.0625,1
2,5645,0.0625,1
1427,5111,0.0625,1
1427,3545,0.0625,1
3609,1264,0.0625,1
26,17027,0.0625,1
5645,946,0.0625,1
1632,2820,0.0625,2
2820,789,0.0625,2
5645,1622,0.0625,1
26,5111,0.0625,1
26,3545,0.0625,1
26,1427,0.0625,1
26,7069,0.0625,1
26,134,0.0625,1
2638,17027,0.0625,1
17027,1427,0.0625,1
17027,3545,0.0625,1
17027,134,0.0625,1
17027,652,0.0625,1
966,3545,0.0625,1
551,403,0.0625,1
10140,7108,0.0588,1
1058,1796,0.0588,1
1058,1451,0.0588,1
1058,1240,0.0588,1
586,2138,0.0588,1
586,966,0.0588,1
2138,17027,0.0588,1
14480,7108,0.0588,1
14480,2294,0.0588,1
1185,6430,0.0588,1
1185,4506,0.0588,1
1185,3545,0.0588,1
1185,1291,0.0588,1
530,712,0.0588,1
1796,1451,0.0588,1
1622,1683,0.0588,1
5777,966,0.0588,1
5777,1265,0.0588,1
5777,1185,0.0588,1
530,1451,0.0588,1
586,1622,0.0588,1
530,1185,0.0588,1
2611,586,0.0588,1
586,2213,0.0588,1
5645,3531,0.0588,1
5645,1199,0.0588,1
5645,35,0.0588,1
70,1240,0.0588,1
70,712,0.0588,1
70,706,0.0588,1
532,1451,0.0588,1
532,1240,0.0588,1
532,1058,0.0588,1
2294,10140,0.0588,1
2294,7108,0.0588,1
2294,2871,0.0588,1
2294,480,0.0588,1
1265,6430,0.0588,1
1265,3545,0.0588,1
1199,3531,0.0588,1
586,2381,0.0588,1
586,1787,0.0588,1
529,1185,0.0588,1
529,1451,0.0588,1
1240,1796,0.0588,1
1240,1451,0.0588,1
622,1796,0.0588,1
622,1451,0.0588,1
532,712,0.0588,1
70,1796,0.0588,1
712,1796,0.0588,1
712,1451,0.0588,1
706,1451,0.0588,1
706,712,0.0588,1
2,5777,0.0588,1
2871,10140,0.0588,1
2871,7108,0.0588,1
2871,480,0.0588,1
1058,712,0.0588,1
1058,706,0.0588,1
1058,622,0.0588,1
1058,70,0.0588,1
7108,480,0.0588,1
2381,395,0.0582,3
1622,5245,0.0578,2
5245,4575,0.0578,2
2,343,0.0577,2
2213,2309,0.0575,2
1024,329,0.0556,1
531,6193,0.0526,1
1038,5753,0.0526,1
276,1314,0.0526,1
55,986,0.0526,1
6430,303,0.0526,1
55,206,0.0526,1
1314,2871,0.0526,1
531,738,0.0526,1
3839,2871,0.0526,1
6193,303,0.0526,1
276,2871,0.0526,1
2638,986,0.0526,1
2638,1800,0.0526,1
2638,738,0.0526,1
622,6430,0.0526,1
551,1314,0.0526,1
551,276,0.0526,1
551,14480,0.0526,1
10393,206,0.0526,1
10393,738,0.0526,1
10393,986,0.0526,1
2638,206,0.0526,1
2160,206,0.0526,1
